Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,merch_zipcode
443103,2019-07-15 23:45:19,4189814094741,fraud_Boyer-Haley,travel,7.04,Jason,Farmer,M,33165 Larry Walks Suite 960,Ragland,AL,35131,33.7367,-86.1619,4159,Educational psychologist,1998-02-03,a85e269b2f5513359daed39caa460c8f,1342395919,33.759557,-86.610579,0,35126
44416,2019-01-27 13:59:42,2713913904780408,fraud_Reilly LLC,home,60.63,Jacqueline,Howard,F,4511 Choi Lock,Delhi,LA,71232,32.3929,-91.4714,6581,Multimedia programmer,1964-02-13,f8195ef07ffcdbfff5a6dd44067057ad,1327672782,31.459234,-92.374783,0,71405
1160542,2020-04-28 18:54:22,4328928491302401,"fraud_Watsica, Haag and Considine",shopping_pos,53.71,Margaret,Ray,F,927 Cummings Manor Suite 318,Greendale,WI,53129,42.9373,-87.9943,13973,Logistics and distribution manager,1981-05-06,e43f124f6dac02a121dfacacc7748c13,1367175262,42.915375,-87.095807,0,
240778,2019-04-30 15:34:47,630441765090,fraud_Fahey Inc,kids_pets,62.19,Susan,Washington,F,759 Erin Mount Suite 956,May,TX,76857,31.9571,-98.9656,1791,Corporate investment banker,1965-07-26,c5aaf5bf2a8a3c8cd70e1ab723c67f8e,1335800087,32.369663,-98.983473,0,76437
731635,2019-11-09 05:20:04,4657269323674365,fraud_Bahringer-Streich,food_dining,91.32,Alicia,Mitchell,F,125 Kristen Dale,Grand Ridge,FL,32442,30.7148,-85.021,3699,Art gallery manager,1948-09-07,55025dd864fcff5f6f07ae4e7973c395,1352438404,30.192681,-85.764815,0,32407
26480,2019-01-15 23:49:20,180048185037117,"fraud_Dare, Casper and Bartoletti",kids_pets,18.68,Mary,Wall,F,2481 Mills Lock,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,1974-07-19,3555c61cc3d359fa3476882cdce89ae1,1326671360,39.777165,-75.063582,0,08032
362318,2019-06-17 11:40:18,3566875419572867,fraud_Schmidt and Sons,shopping_net,88.93,Adam,Mcdonald,M,997 Cameron Meadow Apt. 980,South Hero,VT,5486,44.64,-73.3113,1654,Transport planner,1991-01-31,ad9ecceafc80b3419cecb4ec1838919d,1339933218,45.293293,-73.531487,0,
822624,2019-12-09 04:32:51,4839615922685395,fraud_Spinka-Welch,grocery_net,19.68,Phillip,Robertson,M,85344 Smith Gateway Apt. 280,Harrodsburg,IN,47434,39.013000000000005,-86.5457,76,Social researcher,1955-05-06,1f08e6aaffb020ca0fcb130dcdf52d5d,1355027571,39.835477,-86.03541899999999,0,46226
997660,2020-02-12 17:32:38,213102873001603,fraud_Upton PLC,entertainment,1.89,Joanne,Padilla,F,477 Alejandro Knolls Suite 828,Gardiner,OR,97441,43.7857,-124.1437,260,"Engineer, maintenance",1956-09-01,22062a255ed28838da7ed82c67923d5f,1360690358,44.056268,-123.387941,0,97437
492780,2019-08-03 12:41:11,3517527805128735,fraud_Torphy-Kertzmann,health_fitness,76.95,Tracy,Conway,F,6778 Campos Field,Bonfield,IL,60913,41.1573,-88.0619,1617,Medical secretary,1990-04-25,edeafd04b1f299faded2315752272a26,1343997671,41.185479,-87.48894,0,46349
519157,2019-08-12 04:57:12,375248307838179,"fraud_Rowe, Batz and Goodwin",grocery_pos,109.78,Joshua,Mendoza,M,4215 Miranda Field Suite 326,Tallmansville,WV,26237,38.8564,-80.158,571,Accounting technician,1967-09-16,8aadfa6023ba092d76ffef24c80182fb,1344747432,39.567469,-81.087245,0,45767
